text,intent,tokenized_text,cleaned_text,cleaned_tokenized_text,Target
will you check there is a reservation for laura at black pearl,confirm_reservation,"['will', 'you', 'check', 'there', 'is', 'a', 'reservation', 'for', 'laura', 'at', 'black', 'pearl']",will you check there is a reservation for laura at black pearl,"['check', 'reservation', 'laura', 'black', 'pearl']",26
i need to make sure there is a reservation for george at connor oneil's,confirm_reservation,"['i', 'need', 'to', 'make', 'sure', 'there', 'is', 'a', 'reservation', 'for', 'george', 'at', 'connor', 'oneil', ""'s""]",i need to make sure there is a reservation for george at connor oneils,"['need', 'make', 'sure', 'reservation', 'george', 'connor', 'oneils']",26
can you confirm my reservation for 6 pm on the 13th of february,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', '6', 'pm', 'on', 'the', '13th', 'of', 'february']",can you confirm my reservation for 6 pm on the 13th of february,"['confirm', 'reservation', '6', 'pm', '13th', 'february']",26
can you confirm i have a reservation at 5 pm on march 13th,confirm_reservation,"['can', 'you', 'confirm', 'i', 'have', 'a', 'reservation', 'at', '5', 'pm', 'on', 'march', '13th']",can you confirm i have a reservation at 5 pm on march 13th,"['confirm', 'reservation', '5', 'pm', 'march', '13th']",26
can you confirm my reservation for 8 pm on the 7th of november,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', '8', 'pm', 'on', 'the', '7th', 'of', 'november']",can you confirm my reservation for 8 pm on the 7th of november,"['confirm', 'reservation', '8', 'pm', '7th', 'november']",26
please confirm i have a reservation for 2 pm on february 21st,confirm_reservation,"['please', 'confirm', 'i', 'have', 'a', 'reservation', 'for', '2', 'pm', 'on', 'february', '21st']",please confirm i have a reservation for 2 pm on february 21st,"['please', 'confirm', 'reservation', '2', 'pm', 'february', '21st']",26
can you verify mike has a reservation at black rock at 6 pm,confirm_reservation,"['can', 'you', 'verify', 'mike', 'has', 'a', 'reservation', 'at', 'black', 'rock', 'at', '6', 'pm']",can you verify mike has a reservation at black rock at 6 pm,"['verify', 'mike', 'reservation', 'black', 'rock', '6', 'pm']",26
i want my reservation for march 1 at 8 pm confirmed,confirm_reservation,"['i', 'want', 'my', 'reservation', 'for', 'march', '1', 'at', '8', 'pm', 'confirmed']",i want my reservation for march 1 at 8 pm confirmed,"['want', 'reservation', 'march', '1', '8', 'pm', 'confirmed']",26
will you please confirm my reservation for march 11 at 6:30 pm,confirm_reservation,"['will', 'you', 'please', 'confirm', 'my', 'reservation', 'for', 'march', '11', 'at', '6:30', 'pm']",will you please confirm my reservation for march 11 at 630 pm,"['please', 'confirm', 'reservation', 'march', '11', '630', 'pm']",26
i would like you to confirm my reservation for next saturday at 11 am,confirm_reservation,"['i', 'would', 'like', 'you', 'to', 'confirm', 'my', 'reservation', 'for', 'next', 'saturday', 'at', '11', 'am']",i would like you to confirm my reservation for next saturday at 11 am,"['would', 'like', 'confirm', 'reservation', 'next', 'saturday', '11']",26
i need you to confirm my reservation for tomorrow at 3 pm,confirm_reservation,"['i', 'need', 'you', 'to', 'confirm', 'my', 'reservation', 'for', 'tomorrow', 'at', '3', 'pm']",i need you to confirm my reservation for tomorrow at 3 pm,"['need', 'confirm', 'reservation', 'tomorrow', '3', 'pm']",26
check to confirm my reservation for february 22 at noon,confirm_reservation,"['check', 'to', 'confirm', 'my', 'reservation', 'for', 'february', '22', 'at', 'noon']",check to confirm my reservation for february 22 at noon,"['check', 'confirm', 'reservation', 'february', '22', 'noon']",26
i would like to try and confirm that i have a reservation at houlihan’s for mike,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'houlihan', '’', 's', 'for', 'mike']",i would like to try and confirm that i have a reservation at houlihan’s for mike,"['would', 'like', 'try', 'confirm', 'reservation', 'houlihan', '’', 'mike']",26
i would like to try and confirm that i have a reservation at the seven dwarves for peter,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'the', 'seven', 'dwarves', 'for', 'peter']",i would like to try and confirm that i have a reservation at the seven dwarves for peter,"['would', 'like', 'try', 'confirm', 'reservation', 'seven', 'dwarves', 'peter']",26
i would like to try and confirm that i have a reservation at hu hot for paulie,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'hu', 'hot', 'for', 'paulie']",i would like to try and confirm that i have a reservation at hu hot for paulie,"['would', 'like', 'try', 'confirm', 'reservation', 'hu', 'hot', 'paulie']",26
i would like to try and confirm that i have a reservation at macaroni grill for saul,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'macaroni', 'grill', 'for', 'saul']",i would like to try and confirm that i have a reservation at macaroni grill for saul,"['would', 'like', 'try', 'confirm', 'reservation', 'macaroni', 'grill', 'saul']",26
i would like to try and confirm that i have a reservation at chili’s for melinda,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'chili', '’', 's', 'for', 'melinda']",i would like to try and confirm that i have a reservation at chili’s for melinda,"['would', 'like', 'try', 'confirm', 'reservation', 'chili', '’', 'melinda']",26
i would like to try and confirm that i have a reservation at macaroni grill for silva,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'macaroni', 'grill', 'for', 'silva']",i would like to try and confirm that i have a reservation at macaroni grill for silva,"['would', 'like', 'try', 'confirm', 'reservation', 'macaroni', 'grill', 'silva']",26
i would like to try and confirm that i have a reservation at kelly's for moreno,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'kelly', ""'s"", 'for', 'moreno']",i would like to try and confirm that i have a reservation at kellys for moreno,"['would', 'like', 'try', 'confirm', 'reservation', 'kellys', 'moreno']",26
i would like to try and confirm that i have a reservation at la palapa for bolding,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'la', 'palapa', 'for', 'bolding']",i would like to try and confirm that i have a reservation at la palapa for bolding,"['would', 'like', 'try', 'confirm', 'reservation', 'la', 'palapa', 'bolding']",26
i would like to try and confirm that i have a reservation at gusteau's for krystine,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'gusteau', ""'s"", 'for', 'krystine']",i would like to try and confirm that i have a reservation at gusteaus for krystine,"['would', 'like', 'try', 'confirm', 'reservation', 'gusteaus', 'krystine']",26
i would like to try and confirm that i have a reservation at chili's for jamie,confirm_reservation,"['i', 'would', 'like', 'to', 'try', 'and', 'confirm', 'that', 'i', 'have', 'a', 'reservation', 'at', 'chili', ""'s"", 'for', 'jamie']",i would like to try and confirm that i have a reservation at chilis for jamie,"['would', 'like', 'try', 'confirm', 'reservation', 'chilis', 'jamie']",26
can you confirm my reservation for jim at lawry's,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'jim', 'at', 'lawry', ""'s""]",can you confirm my reservation for jim at lawrys,"['confirm', 'reservation', 'jim', 'lawrys']",26
can you confirm my reservation for dave at outback steakhouse,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'dave', 'at', 'outback', 'steakhouse']",can you confirm my reservation for dave at outback steakhouse,"['confirm', 'reservation', 'dave', 'outback', 'steakhouse']",26
can you confirm my reservation for lance at morton's,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'lance', 'at', 'morton', ""'s""]",can you confirm my reservation for lance at mortons,"['confirm', 'reservation', 'lance', 'mortons']",26
can you confirm my reservation for steve at olive garden,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'steve', 'at', 'olive', 'garden']",can you confirm my reservation for steve at olive garden,"['confirm', 'reservation', 'steve', 'olive', 'garden']",26
can you confirm my reservation for jaime at red lobster,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'jaime', 'at', 'red', 'lobster']",can you confirm my reservation for jaime at red lobster,"['confirm', 'reservation', 'jaime', 'red', 'lobster']",26
i'd like for you to make sure my reservation is there for charlie's under jack,confirm_reservation,"['i', ""'d"", 'like', 'for', 'you', 'to', 'make', 'sure', 'my', 'reservation', 'is', 'there', 'for', 'charlie', ""'s"", 'under', 'jack']",id like for you to make sure my reservation is there for charlies under jack,"['id', 'like', 'make', 'sure', 'reservation', 'charlies', 'jack']",26
can you check and see i have a reservation under alex for bon apetite,confirm_reservation,"['can', 'you', 'check', 'and', 'see', 'i', 'have', 'a', 'reservation', 'under', 'alex', 'for', 'bon', 'apetite']",can you check and see i have a reservation under alex for bon apetite,"['check', 'see', 'reservation', 'alex', 'bon', 'apetite']",26
can you verify my reservation under steve for friendly's,confirm_reservation,"['can', 'you', 'verify', 'my', 'reservation', 'under', 'steve', 'for', 'friendly', ""'s""]",can you verify my reservation under steve for friendlys,"['verify', 'reservation', 'steve', 'friendlys']",26
make sure my reservation is happening for john at olive garden,confirm_reservation,"['make', 'sure', 'my', 'reservation', 'is', 'happening', 'for', 'john', 'at', 'olive', 'garden']",make sure my reservation is happening for john at olive garden,"['make', 'sure', 'reservation', 'happening', 'john', 'olive', 'garden']",26
double check my reservation under adam for outback steakhouse,confirm_reservation,"['double', 'check', 'my', 'reservation', 'under', 'adam', 'for', 'outback', 'steakhouse']",double check my reservation under adam for outback steakhouse,"['double', 'check', 'reservation', 'adam', 'outback', 'steakhouse']",26
please confirm my reservation for april 1st at 9am,confirm_reservation,"['please', 'confirm', 'my', 'reservation', 'for', 'april', '1st', 'at', '9am']",please confirm my reservation for april 1st at 9am,"['please', 'confirm', 'reservation', 'april', '1st', '9am']",26
please confirm my reservation for march 8th at 12:00,confirm_reservation,"['please', 'confirm', 'my', 'reservation', 'for', 'march', '8th', 'at', '12:00']",please confirm my reservation for march 8th at 1200,"['please', 'confirm', 'reservation', 'march', '8th', '1200']",26
can you confirm my reservation for donnobys at 5:00,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'donnobys', 'at', '5:00']",can you confirm my reservation for donnobys at 500,"['confirm', 'reservation', 'donnobys', '500']",26
can you confirm my reservation for minnis at 4:00,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'minnis', 'at', '4:00']",can you confirm my reservation for minnis at 400,"['confirm', 'reservation', 'minnis', '400']",26
please confirm my reservation for may 9th at 4pm,confirm_reservation,"['please', 'confirm', 'my', 'reservation', 'for', 'may', '9th', 'at', '4pm']",please confirm my reservation for may 9th at 4pm,"['please', 'confirm', 'reservation', 'may', '9th', '4pm']",26
please confirm my reservation for march 1st at 2pm,confirm_reservation,"['please', 'confirm', 'my', 'reservation', 'for', 'march', '1st', 'at', '2pm']",please confirm my reservation for march 1st at 2pm,"['please', 'confirm', 'reservation', 'march', '1st', '2pm']",26
can you confirm my reservation for torris at 7:00,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'torris', 'at', '7:00']",can you confirm my reservation for torris at 700,"['confirm', 'reservation', 'torris', '700']",26
can you confirm my reservation for applebees at 2:00,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'applebees', 'at', '2:00']",can you confirm my reservation for applebees at 200,"['confirm', 'reservation', 'applebees', '200']",26
can you confirm my reservation for chillis at 8:00,confirm_reservation,"['can', 'you', 'confirm', 'my', 'reservation', 'for', 'chillis', 'at', '8:00']",can you confirm my reservation for chillis at 800,"['confirm', 'reservation', 'chillis', '800']",26
please confirm my reservation for feburary 21st at 6pm,confirm_reservation,"['please', 'confirm', 'my', 'reservation', 'for', 'feburary', '21st', 'at', '6pm']",please confirm my reservation for feburary 21st at 6pm,"['please', 'confirm', 'reservation', 'feburary', '21st', '6pm']",26
confirm my taco house reservation for jean,confirm_reservation,"['confirm', 'my', 'taco', 'house', 'reservation', 'for', 'jean']",confirm my taco house reservation for jean,"['confirm', 'taco', 'house', 'reservation', 'jean']",26
can you you confirm my reservation for jean at taco house,confirm_reservation,"['can', 'you', 'you', 'confirm', 'my', 'reservation', 'for', 'jean', 'at', 'taco', 'house']",can you you confirm my reservation for jean at taco house,"['confirm', 'reservation', 'jean', 'taco', 'house']",26
does taco house have a reservation for jean,confirm_reservation,"['does', 'taco', 'house', 'have', 'a', 'reservation', 'for', 'jean']",does taco house have a reservation for jean,"['taco', 'house', 'reservation', 'jean']",26
i would like to check my reservation for jean at taco house,confirm_reservation,"['i', 'would', 'like', 'to', 'check', 'my', 'reservation', 'for', 'jean', 'at', 'taco', 'house']",i would like to check my reservation for jean at taco house,"['would', 'like', 'check', 'reservation', 'jean', 'taco', 'house']",26
can you block my chase account right away please,freeze_account,"['can', 'you', 'block', 'my', 'chase', 'account', 'right', 'away', 'please']",can you block my chase account right away please,"['block', 'chase', 'account', 'right', 'away', 'please']",45
i want my chase account blocked immediately,freeze_account,"['i', 'want', 'my', 'chase', 'account', 'blocked', 'immediately']",i want my chase account blocked immediately,"['want', 'chase', 'account', 'blocked', 'immediately']",45
i need you to block my chase account immediately,freeze_account,"['i', 'need', 'you', 'to', 'block', 'my', 'chase', 'account', 'immediately']",i need you to block my chase account immediately,"['need', 'block', 'chase', 'account', 'immediately']",45
can you put a block on my chase account right away,freeze_account,"['can', 'you', 'put', 'a', 'block', 'on', 'my', 'chase', 'account', 'right', 'away']",can you put a block on my chase account right away,"['put', 'block', 'chase', 'account', 'right', 'away']",45
please block my chase account right away,freeze_account,"['please', 'block', 'my', 'chase', 'account', 'right', 'away']",please block my chase account right away,"['please', 'block', 'chase', 'account', 'right', 'away']",45
what do i do to freeze my account,freeze_account,"['what', 'do', 'i', 'do', 'to', 'freeze', 'my', 'account']",what do i do to freeze my account,"['freeze', 'account']",45
place a hold on my bank account,freeze_account,"['place', 'a', 'hold', 'on', 'my', 'bank', 'account']",place a hold on my bank account,"['place', 'hold', 'bank', 'account']",45
how can i stop transactions on my account,freeze_account,"['how', 'can', 'i', 'stop', 'transactions', 'on', 'my', 'account']",how can i stop transactions on my account,"['stop', 'transactions', 'account']",45
freeze my account immediately,freeze_account,"['freeze', 'my', 'account', 'immediately']",freeze my account immediately,"['freeze', 'account', 'immediately']",45
block my monkey market right now,freeze_account,"['block', 'my', 'monkey', 'market', 'right', 'now']",block my monkey market right now,"['block', 'monkey', 'market', 'right']",45
put a stop on my deposit account,freeze_account,"['put', 'a', 'stop', 'on', 'my', 'deposit', 'account']",put a stop on my deposit account,"['put', 'stop', 'deposit', 'account']",45
stop any future processing on my savings account,freeze_account,"['stop', 'any', 'future', 'processing', 'on', 'my', 'savings', 'account']",stop any future processing on my savings account,"['stop', 'future', 'processing', 'savings', 'account']",45
put a hault on my savings account,freeze_account,"['put', 'a', 'hault', 'on', 'my', 'savings', 'account']",put a hault on my savings account,"['put', 'hault', 'savings', 'account']",45
"could you put a stop on my bank account, please",freeze_account,"['could', 'you', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account', ',', 'please']",could you put a stop on my bank account please,"['could', 'put', 'stop', 'bank', 'account', 'please']",45
can you put a stop on my bank account now,freeze_account,"['can', 'you', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account', 'now']",can you put a stop on my bank account now,"['put', 'stop', 'bank', 'account']",45
"can you put a stop on my bank account, please",freeze_account,"['can', 'you', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account', ',', 'please']",can you put a stop on my bank account please,"['put', 'stop', 'bank', 'account', 'please']",45
could you freeze my account,freeze_account,"['could', 'you', 'freeze', 'my', 'account']",could you freeze my account,"['could', 'freeze', 'account']",45
"could you freeze my account, please",freeze_account,"['could', 'you', 'freeze', 'my', 'account', ',', 'please']",could you freeze my account please,"['could', 'freeze', 'account', 'please']",45
can you put a stop on my bank account,freeze_account,"['can', 'you', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account']",can you put a stop on my bank account,"['put', 'stop', 'bank', 'account']",45
"can you freeze my account, please",freeze_account,"['can', 'you', 'freeze', 'my', 'account', ',', 'please']",can you freeze my account please,"['freeze', 'account', 'please']",45
could you freeze my account now,freeze_account,"['could', 'you', 'freeze', 'my', 'account', 'now']",could you freeze my account now,"['could', 'freeze', 'account']",45
can you freeze my account,freeze_account,"['can', 'you', 'freeze', 'my', 'account']",can you freeze my account,"['freeze', 'account']",45
could you put a stop on my bank account,freeze_account,"['could', 'you', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account']",could you put a stop on my bank account,"['could', 'put', 'stop', 'bank', 'account']",45
do you mind putting a stop on my bank account,freeze_account,"['do', 'you', 'mind', 'putting', 'a', 'stop', 'on', 'my', 'bank', 'account']",do you mind putting a stop on my bank account,"['mind', 'putting', 'stop', 'bank', 'account']",45
i would like you to put a stop on my bank account,freeze_account,"['i', 'would', 'like', 'you', 'to', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account']",i would like you to put a stop on my bank account,"['would', 'like', 'put', 'stop', 'bank', 'account']",45
please turn my account to frozen,freeze_account,"['please', 'turn', 'my', 'account', 'to', 'frozen']",please turn my account to frozen,"['please', 'turn', 'account', 'frozen']",45
please make my account a frozen one,freeze_account,"['please', 'make', 'my', 'account', 'a', 'frozen', 'one']",please make my account a frozen one,"['please', 'make', 'account', 'frozen', 'one']",45
please make sure my account is frozen,freeze_account,"['please', 'make', 'sure', 'my', 'account', 'is', 'frozen']",please make sure my account is frozen,"['please', 'make', 'sure', 'account', 'frozen']",45
is it too much trouble to put a stop on my bank account,freeze_account,"['is', 'it', 'too', 'much', 'trouble', 'to', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account']",is it too much trouble to put a stop on my bank account,"['much', 'trouble', 'put', 'stop', 'bank', 'account']",45
i would love it if you could put a stop on my bank account,freeze_account,"['i', 'would', 'love', 'it', 'if', 'you', 'could', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account']",i would love it if you could put a stop on my bank account,"['would', 'love', 'could', 'put', 'stop', 'bank', 'account']",45
i would appreciate it if you put a stop on my bank account,freeze_account,"['i', 'would', 'appreciate', 'it', 'if', 'you', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account']",i would appreciate it if you put a stop on my bank account,"['would', 'appreciate', 'put', 'stop', 'bank', 'account']",45
please set my account as frozen,freeze_account,"['please', 'set', 'my', 'account', 'as', 'frozen']",please set my account as frozen,"['please', 'set', 'account', 'frozen']",45
please freeze my account,freeze_account,"['please', 'freeze', 'my', 'account']",please freeze my account,"['please', 'freeze', 'account']",45
i need my account frozen,freeze_account,"['i', 'need', 'my', 'account', 'frozen']",i need my account frozen,"['need', 'account', 'frozen']",45
i'd like my account frozen,freeze_account,"['i', ""'d"", 'like', 'my', 'account', 'frozen']",id like my account frozen,"['id', 'like', 'account', 'frozen']",45
i would like my account frozen,freeze_account,"['i', 'would', 'like', 'my', 'account', 'frozen']",i would like my account frozen,"['would', 'like', 'account', 'frozen']",45
i want my account frozen,freeze_account,"['i', 'want', 'my', 'account', 'frozen']",i want my account frozen,"['want', 'account', 'frozen']",45
i really want my account frozen,freeze_account,"['i', 'really', 'want', 'my', 'account', 'frozen']",i really want my account frozen,"['really', 'want', 'account', 'frozen']",45
no payments on my bank account,freeze_account,"['no', 'payments', 'on', 'my', 'bank', 'account']",no payments on my bank account,"['payments', 'bank', 'account']",45
turn off my bank account,freeze_account,"['turn', 'off', 'my', 'bank', 'account']",turn off my bank account,"['turn', 'bank', 'account']",45
stop all payments to my bank account,freeze_account,"['stop', 'all', 'payments', 'to', 'my', 'bank', 'account']",stop all payments to my bank account,"['stop', 'payments', 'bank', 'account']",45
shut down my account,freeze_account,"['shut', 'down', 'my', 'account']",shut down my account,"['shut', 'account']",45
close out my account,freeze_account,"['close', 'out', 'my', 'account']",close out my account,"['close', 'account']",45
turn off my account,freeze_account,"['turn', 'off', 'my', 'account']",turn off my account,"['turn', 'account']",45
i need to hold off on my account,freeze_account,"['i', 'need', 'to', 'hold', 'off', 'on', 'my', 'account']",i need to hold off on my account,"['need', 'hold', 'account']",45
plase hold my account for now,freeze_account,"['plase', 'hold', 'my', 'account', 'for', 'now']",plase hold my account for now,"['plase', 'hold', 'account']",45
terminate the account,freeze_account,"['terminate', 'the', 'account']",terminate the account,"['terminate', 'account']",45
i am going to need a block put on my chase account right away,freeze_account,"['i', 'am', 'going', 'to', 'need', 'a', 'block', 'put', 'on', 'my', 'chase', 'account', 'right', 'away']",i am going to need a block put on my chase account right away,"['going', 'need', 'block', 'put', 'chase', 'account', 'right', 'away']",45
would you please put a block on my chase account right away,freeze_account,"['would', 'you', 'please', 'put', 'a', 'block', 'on', 'my', 'chase', 'account', 'right', 'away']",would you please put a block on my chase account right away,"['would', 'please', 'put', 'block', 'chase', 'account', 'right', 'away']",45
i would like a block put on my chase account asap,freeze_account,"['i', 'would', 'like', 'a', 'block', 'put', 'on', 'my', 'chase', 'account', 'asap']",i would like a block put on my chase account asap,"['would', 'like', 'block', 'put', 'chase', 'account', 'asap']",45
can you please put a block on my chase account quickly,freeze_account,"['can', 'you', 'please', 'put', 'a', 'block', 'on', 'my', 'chase', 'account', 'quickly']",can you please put a block on my chase account quickly,"['please', 'put', 'block', 'chase', 'account', 'quickly']",45
i need a block put on my chase account right away,freeze_account,"['i', 'need', 'a', 'block', 'put', 'on', 'my', 'chase', 'account', 'right', 'away']",i need a block put on my chase account right away,"['need', 'block', 'put', 'chase', 'account', 'right', 'away']",45
i need to put a freeze on my banking account,freeze_account,"['i', 'need', 'to', 'put', 'a', 'freeze', 'on', 'my', 'banking', 'account']",i need to put a freeze on my banking account,"['need', 'put', 'freeze', 'banking', 'account']",45
put a freeze on my bank account,freeze_account,"['put', 'a', 'freeze', 'on', 'my', 'bank', 'account']",put a freeze on my bank account,"['put', 'freeze', 'bank', 'account']",45
freeze my bank account,freeze_account,"['freeze', 'my', 'bank', 'account']",freeze my bank account,"['freeze', 'bank', 'account']",45
can i freeze my bank account,freeze_account,"['can', 'i', 'freeze', 'my', 'bank', 'account']",can i freeze my bank account,"['freeze', 'bank', 'account']",45
i want you to immediatly block any further activity on my bb&t bank account,freeze_account,"['i', 'want', 'you', 'to', 'immediatly', 'block', 'any', 'further', 'activity', 'on', 'my', 'bb', '&', 't', 'bank', 'account']",i want you to immediatly block any further activity on my bbt bank account,"['want', 'immediatly', 'block', 'activity', 'bbt', 'bank', 'account']",45
block my citibank account right away,freeze_account,"['block', 'my', 'citibank', 'account', 'right', 'away']",block my citibank account right away,"['block', 'citibank', 'account', 'right', 'away']",45
add a block to my capital one bank account so it cannot be used any more,freeze_account,"['add', 'a', 'block', 'to', 'my', 'capital', 'one', 'bank', 'account', 'so', 'it', 'can', 'not', 'be', 'used', 'any', 'more']",add a block to my capital one bank account so it cannot be used any more,"['add', 'block', 'capital', 'one', 'bank', 'account', 'used']",45
please immediatly block my presidential bank account right now,freeze_account,"['please', 'immediatly', 'block', 'my', 'presidential', 'bank', 'account', 'right', 'now']",please immediatly block my presidential bank account right now,"['please', 'immediatly', 'block', 'presidential', 'bank', 'account', 'right']",45
put a block on my amalgamated bank account right now,freeze_account,"['put', 'a', 'block', 'on', 'my', 'amalgamated', 'bank', 'account', 'right', 'now']",put a block on my amalgamated bank account right now,"['put', 'block', 'amalgamated', 'bank', 'account', 'right']",45
please put a stop on my back account,freeze_account,"['please', 'put', 'a', 'stop', 'on', 'my', 'back', 'account']",please put a stop on my back account,"['please', 'put', 'stop', 'back', 'account']",45
please put a block on my td ameritrade account now,freeze_account,"['please', 'put', 'a', 'block', 'on', 'my', 'td', 'ameritrade', 'account', 'now']",please put a block on my td ameritrade account now,"['please', 'put', 'block', 'td', 'ameritrade', 'account']",45
i'd like a stop placed on my bank account,freeze_account,"['i', ""'d"", 'like', 'a', 'stop', 'placed', 'on', 'my', 'bank', 'account']",id like a stop placed on my bank account,"['id', 'like', 'stop', 'placed', 'bank', 'account']",45
place a block on my capital one account right now,freeze_account,"['place', 'a', 'block', 'on', 'my', 'capital', 'one', 'account', 'right', 'now']",place a block on my capital one account right now,"['place', 'block', 'capital', 'one', 'account', 'right']",45
i'd like a block on my charles schwab account immediately,freeze_account,"['i', ""'d"", 'like', 'a', 'block', 'on', 'my', 'charles', 'schwab', 'account', 'immediately']",id like a block on my charles schwab account immediately,"['id', 'like', 'block', 'charles', 'schwab', 'account', 'immediately']",45
"i need you to place a stop on my bank account, thank you",freeze_account,"['i', 'need', 'you', 'to', 'place', 'a', 'stop', 'on', 'my', 'bank', 'account', ',', 'thank', 'you']",i need you to place a stop on my bank account thank you,"['need', 'place', 'stop', 'bank', 'account', 'thank']",45
place a stop on my bank account,freeze_account,"['place', 'a', 'stop', 'on', 'my', 'bank', 'account']",place a stop on my bank account,"['place', 'stop', 'bank', 'account']",45
i need you to freeze my account,freeze_account,"['i', 'need', 'you', 'to', 'freeze', 'my', 'account']",i need you to freeze my account,"['need', 'freeze', 'account']",45
i need you to block my mutualone account now,freeze_account,"['i', 'need', 'you', 'to', 'block', 'my', 'mutualone', 'account', 'now']",i need you to block my mutualone account now,"['need', 'block', 'mutualone', 'account']",45
"help me freeze my bank account, please",freeze_account,"['help', 'me', 'freeze', 'my', 'bank', 'account', ',', 'please']",help me freeze my bank account please,"['help', 'freeze', 'bank', 'account', 'please']",45
i'd like to put a freeze on my bank account,freeze_account,"['i', ""'d"", 'like', 'to', 'put', 'a', 'freeze', 'on', 'my', 'bank', 'account']",id like to put a freeze on my bank account,"['id', 'like', 'put', 'freeze', 'bank', 'account']",45
block my chase account asap,freeze_account,"['block', 'my', 'chase', 'account', 'asap']",block my chase account asap,"['block', 'chase', 'account', 'asap']",45
can you please freeze my bank account,freeze_account,"['can', 'you', 'please', 'freeze', 'my', 'bank', 'account']",can you please freeze my bank account,"['please', 'freeze', 'bank', 'account']",45
can you please put a stop on my bank account,freeze_account,"['can', 'you', 'please', 'put', 'a', 'stop', 'on', 'my', 'bank', 'account']",can you please put a stop on my bank account,"['please', 'put', 'stop', 'bank', 'account']",45
pause my account,freeze_account,"['pause', 'my', 'account']",pause my account,"['pause', 'account']",45
put a hold on my bank account,freeze_account,"['put', 'a', 'hold', 'on', 'my', 'bank', 'account']",put a hold on my bank account,"['put', 'hold', 'bank', 'account']",45
please do a stop on my bank account,freeze_account,"['please', 'do', 'a', 'stop', 'on', 'my', 'bank', 'account']",please do a stop on my bank account,"['please', 'stop', 'bank', 'account']",45
stop payments from my bank,freeze_account,"['stop', 'payments', 'from', 'my', 'bank']",stop payments from my bank,"['stop', 'payments', 'bank']",45
put a hold on my account,freeze_account,"['put', 'a', 'hold', 'on', 'my', 'account']",put a hold on my account,"['put', 'hold', 'account']",45
stop my account activity,freeze_account,"['stop', 'my', 'account', 'activity']",stop my account activity,"['stop', 'account', 'activity']",45
please pause my banking actions,freeze_account,"['please', 'pause', 'my', 'banking', 'actions']",please pause my banking actions,"['please', 'pause', 'banking', 'actions']",45
dont allow any action on my account,freeze_account,"['dont', 'allow', 'any', 'action', 'on', 'my', 'account']",dont allow any action on my account,"['dont', 'allow', 'action', 'account']",45
don't let payments go through using my bank account,freeze_account,"['do', ""n't"", 'let', 'payments', 'go', 'through', 'using', 'my', 'bank', 'account']",dont let payments go through using my bank account,"['dont', 'let', 'payments', 'go', 'using', 'bank', 'account']",45
please freeze my bank account,freeze_account,"['please', 'freeze', 'my', 'bank', 'account']",please freeze my bank account,"['please', 'freeze', 'bank', 'account']",45
i want my bank account frozen,freeze_account,"['i', 'want', 'my', 'bank', 'account', 'frozen']",i want my bank account frozen,"['want', 'bank', 'account', 'frozen']",45
